#,x_cen,y_cen,Cluster,x1,y1,x2,y2,x3,y3,x4,y4,nombre_imagen
0,256,169,0,219,154,219,185,293,185,293,154,2013-02-22_06_05_00
1,159,35,1,141,26,141,45,178,45,178,26,2013-02-22_06_05_00
2,253,169,0,219,153,219,185,287,185,287,153,2013-02-22_06_10_00
3,159,35,1,141,25,141,45,178,45,178,25,2013-02-22_06_10_00
4,252,169,0,219,153,219,185,285,185,285,153,2013-02-22_06_15_00
5,159,36,1,141,26,141,45,178,45,178,26,2013-02-22_06_15_00
6,252,169,0,219,153,219,185,285,185,285,153,2013-02-22_06_20_00
7,159,35,1,141,26,141,45,178,45,178,26,2013-02-22_06_20_00
8,251,169,0,219,153,219,185,283,185,283,153,2013-02-22_06_25_00
9,159,35,1,141,25,141,45,178,45,178,25,2013-02-22_06_25_00
10,252,169,0,219,153,219,185,286,185,286,153,2013-02-22_06_35_00
11,159,35,1,141,26,141,45,178,45,178,26,2013-02-22_06_35_00
12,205,42,2,185,32,185,52,226,52,226,32,2013-02-22_06_40_00
13,252,169,0,219,153,219,185,286,185,286,153,2013-02-22_06_40_00
14,159,35,1,141,26,141,45,178,45,178,26,2013-02-22_06_40_00
15,252,169,0,219,153,219,185,285,185,285,153,2013-02-22_06_45_00
16,212,118,3,188,103,188,134,237,134,237,103,2013-02-22_06_45_00
17,205,42,2,185,32,185,51,225,51,225,32,2013-02-22_06_45_00
18,159,35,1,141,25,141,45,178,45,178,25,2013-02-22_06_45_00
19,252,169,0,219,153,219,185,284,185,284,153,2013-02-22_06_50_00
20,212,118,3,188,102,188,134,237,134,237,102,2013-02-22_06_50_00
21,205,41,2,185,32,185,51,225,51,225,32,2013-02-22_06_50_00
22,160,35,1,141,25,141,45,178,45,178,25,2013-02-22_06_50_00
23,213,118,3,188,102,188,133,237,133,237,102,2013-02-22_06_55_00
24,252,169,0,219,153,219,185,285,185,285,153,2013-02-22_06_55_00
25,205,42,2,185,32,185,51,225,51,225,32,2013-02-22_06_55_00
26,159,35,1,141,25,141,45,178,45,178,25,2013-02-22_06_55_00
27,251,169,0,219,153,219,185,284,185,284,153,2013-02-22_07_00_01
28,213,118,3,188,102,188,134,238,134,238,102,2013-02-22_07_00_01
29,205,41,2,185,32,185,51,225,51,225,32,2013-02-22_07_00_01
30,159,35,1,141,25,141,45,178,45,178,25,2013-02-22_07_00_01
31,392,263,4,354,241,354,285,431,285,431,241,2013-02-22_07_05_01
32,257,99,5,233,87,233,111,281,111,281,87,2013-02-22_07_05_01
33,212,118,3,188,102,188,133,237,133,237,102,2013-02-22_07_05_01
34,254,169,0,219,153,219,185,290,185,290,153,2013-02-22_07_05_01
35,205,41,2,185,32,185,51,226,51,226,32,2013-02-22_07_05_01
36,159,35,1,141,25,141,45,178,45,178,25,2013-02-22_07_05_01
37,392,263,4,354,241,354,285,430,285,430,241,2013-02-22_07_10_01
38,257,99,5,233,87,233,111,280,111,280,87,2013-02-22_07_10_01
39,212,118,3,188,102,188,133,237,133,237,102,2013-02-22_07_10_01
40,170,53,6,150,41,150,65,191,65,191,41,2013-02-22_07_10_01
41,254,169,0,219,153,219,185,290,185,290,153,2013-02-22_07_10_01
42,237,76,7,215,65,215,87,259,87,259,65,2013-02-22_07_10_01
43,205,41,2,185,31,185,52,226,52,226,31,2013-02-22_07_10_01
44,159,34,1,141,25,141,43,178,43,178,25,2013-02-22_07_10_01
45,392,263,4,354,241,354,286,431,286,431,241,2013-02-22_07_15_01
46,238,76,7,217,65,217,87,259,87,259,65,2013-02-22_07_15_01
47,365,218,8,329,199,329,237,401,237,401,199,2013-02-22_07_15_01
48,257,99,5,233,87,233,111,280,111,280,87,2013-02-22_07_15_01
49,258,169,0,219,154,219,185,298,185,298,154,2013-02-22_07_15_01
50,213,117,3,188,102,188,133,238,133,238,102,2013-02-22_07_15_01
51,170,53,6,150,41,150,66,191,66,191,41,2013-02-22_07_15_01
52,227,57,9,204,48,204,66,250,66,250,48,2013-02-22_07_15_01
53,205,41,2,185,32,185,50,225,50,225,32,2013-02-22_07_15_01
54,159,34,1,141,25,141,43,178,43,178,25,2013-02-22_07_15_01
55,392,263,4,354,241,354,285,431,285,431,241,2013-02-22_07_20_01
56,238,76,7,217,65,217,87,259,87,259,65,2013-02-22_07_20_01
57,365,218,8,329,198,329,237,401,237,401,198,2013-02-22_07_20_01
58,323,180,10,292,163,292,197,353,197,353,163,2013-02-22_07_20_01
59,257,99,5,234,87,234,111,280,111,280,87,2013-02-22_07_20_01
60,170,53,6,150,41,150,66,191,66,191,41,2013-02-22_07_20_01
61,212,117,3,188,102,188,133,237,133,237,102,2013-02-22_07_20_01
62,258,169,0,219,153,219,185,297,185,297,153,2013-02-22_07_20_01
63,227,57,9,204,48,204,67,250,67,250,48,2013-02-22_07_20_01
64,205,41,2,185,32,185,50,226,50,226,32,2013-02-22_07_20_01
65,159,34,1,141,25,141,43,178,43,178,25,2013-02-22_07_20_01
66,392,264,4,354,241,354,286,431,286,431,241,2013-02-22_07_25_01
67,340,295,11,302,270,302,320,379,320,379,270,2013-02-22_07_25_01
68,365,218,8,329,198,329,237,401,237,401,198,2013-02-22_07_25_01
69,259,169,0,219,153,219,185,298,185,298,153,2013-02-22_07_25_01
70,257,99,5,234,87,234,112,281,112,281,87,2013-02-22_07_25_01
71,213,117,3,188,102,188,131,238,131,238,102,2013-02-22_07_25_01
72,224,141,12,196,129,196,154,252,154,252,129,2013-02-22_07_25_01
73,322,180,10,292,163,292,197,353,197,353,163,2013-02-22_07_25_01
74,238,76,7,217,65,217,87,259,87,259,65,2013-02-22_07_25_01
75,308,150,13,281,136,281,164,334,164,334,136,2013-02-22_07_25_01
76,278,122,14,253,109,253,135,302,135,302,109,2013-02-22_07_25_01
77,170,53,6,150,41,150,65,191,65,191,41,2013-02-22_07_25_01
78,227,57,9,205,48,205,67,250,67,250,48,2013-02-22_07_25_01
79,159,34,1,141,25,141,43,177,43,177,25,2013-02-22_07_25_01
80,205,42,2,184,33,184,51,225,51,225,33,2013-02-22_07_25_01
81,195,24,15,175,15,175,32,214,32,214,15,2013-02-22_07_25_01
82,392,264,4,354,241,354,286,431,286,431,241,2013-02-22_07_30_01
83,340,295,11,302,270,302,320,379,320,379,270,2013-02-22_07_30_01
84,265,207,16,233,190,233,224,298,224,298,190,2013-02-22_07_30_01
85,259,169,0,219,153,219,185,299,185,299,153,2013-02-22_07_30_01
86,257,100,5,234,87,234,112,280,112,280,87,2013-02-22_07_30_01
87,365,218,8,329,198,329,237,401,237,401,198,2013-02-22_07_30_01
88,212,118,3,188,102,188,134,237,134,237,102,2013-02-22_07_30_01
89,324,180,10,294,163,294,197,353,197,353,163,2013-02-22_07_30_01
90,307,150,13,281,136,281,164,334,164,334,136,2013-02-22_07_30_01
91,178,69,17,156,55,156,83,200,83,200,55,2013-02-22_07_30_01
92,278,122,14,254,109,254,134,302,134,302,109,2013-02-22_07_30_01
93,238,76,7,216,65,216,87,259,87,259,65,2013-02-22_07_30_01
94,227,57,9,205,48,205,67,249,67,249,48,2013-02-22_07_30_01
95,170,52,6,149,41,149,63,190,63,190,41,2013-02-22_07_30_01
96,159,34,1,141,25,141,43,177,43,177,25,2013-02-22_07_30_01
97,205,41,2,185,33,185,50,225,50,225,33,2013-02-22_07_30_01
98,392,263,4,353,241,353,286,431,286,431,241,2013-02-22_07_35_01
